ORIGIN	DESTINATION	TIME_MIN	DISTANCE_METER
D_00139	D_00075	33.463	23758
D_00139	D_00129	26.661	19765
D_00139	D_00039	23.669	13703
D_00139	D_00138	8.213	3117
D_00139	D_00004	23.921	11214
D_00139	D_00020	26.310	14607
D_00139	D_00240	36.216	29334
D_00139	D_00171	23.589	17243
D_00139	D_00131	25.634	12786
D_00139	D_00050	32.150	17483
D_00139	D_00002	28.999	13899
D_00139	D_00090	32.369	23077
D_00139	D_00153	5.382	2016
D_00139	D_00007	25.170	12063
D_00139	D_00148	4.106	1735
D_00139	D_00155	7.397	4302
D_00139	D_00038	23.277	11171
D_00139	D_00111	28.474	19534
D_00139	D_00105	23.731	11572
D_00139	D_00016	25.997	14528
D_00139	D_00276	35.534	27790
D_00139	D_00046	31.793	17219
D_00139	D_00058	23.767	11408
D_00139	D_00196	21.800	16436
D_00139	D_00177	27.207	19698
D_00139	D_00001	23.045	13275
D_00139	D_00063	35.740	24296
D_00139	D_00157	14.811	5461
D_00139	D_00246	34.992	28230
D_00139	D_00116	24.552	12629
D_00139	D_00172	22.183	14256
D_00139	D_00118	26.624	14209
D_00139	D_00290	36.914	17194
D_00139	D_00053	31.637	17177
D_00139	D_00295	38.056	17558
D_00139	D_00022	33.309	18091
D_00139	D_00212	32.461	22239
D_00139	D_00249	34.391	21334
D_00139	D_00281	37.100	22977
D_00139	D_00227	36.120	30740
D_00139	D_00210	34.372	23209
D_00139	D_00244	35.208	26382
D_00139	D_00282	35.301	27832
D_00139	D_00141	4.471	1669
D_00139	D_00179	21.209	14340
D_00139	D_00136	5.744	2234
D_00139	D_00237	38.415	29492
D_00139	D_00091	30.810	22071
D_00139	D_00194	24.000	17641
D_00139	D_00092	34.492	21639
D_00139	D_00137	4.916	1878
D_00139	D_00199	29.488	21525
D_00139	D_00021	28.848	14186
D_00139	D_00076	34.187	23968
D_00139	D_00231	34.066	21206
D_00139	D_00119	21.710	12508
D_00139	D_00284	34.640	24125
D_00139	D_00278	39.566	36319
D_00139	D_00079	33.596	21077
D_00139	D_00027	22.552	13108
D_00139	D_00104	27.685	19603
D_00139	D_00170	23.715	17477
D_00139	D_00230	35.949	21834
D_00139	D_00123	30.230	19319
D_00139	D_00225	32.770	19750
D_00139	D_00221	35.339	27605
D_00139	D_00216	34.356	20365
D_00139	D_00178	24.681	17823
D_00139	D_00167	5.717	2815
D_00139	D_00051	25.847	14624
D_00139	D_00133	26.297	13134
D_00139	D_00030	26.959	16508
D_00139	D_00042	26.467	14763
D_00139	D_00060	31.948	23143
D_00139	D_00236	38.133	25465
D_00139	D_00110	27.130	13426
D_00139	D_00041	22.479	10814
D_00139	D_00064	35.335	22140
D_00139	D_00186	20.441	13654
D_00139	D_00265	33.833	27202
D_00139	D_00245	37.230	31077
D_00139	D_00182	24.646	18542
D_00139	D_00263	35.067	23529
D_00139	D_00190	26.740	19510
D_00139	D_00191	25.079	18023
D_00139	D_00085	36.751	22958
D_00139	D_00052	31.315	17128
D_00139	D_00081	31.546	22868
D_00139	D_00195	22.790	16931
D_00139	D_00184	26.469	20302
D_00139	D_00297	34.806	18946
D_00139	D_00006	31.583	17184
D_00139	D_00101	25.618	12880
D_00139	D_00005	23.538	11835
D_00139	D_00057	27.057	16575
D_00139	D_00093	35.151	23963
D_00139	D_00145	2.118	869
D_00139	D_00198	33.780	19236
D_00139	D_00288	36.567	19502
D_00139	D_00192	23.040	15357
D_00139	D_00017	25.678	12147
D_00139	D_00036	25.996	14161
D_00139	D_00204	32.641	21639
D_00139	D_00043	29.252	13333
D_00139	D_00252	33.614	21841
D_00139	D_00122	25.434	12446
D_00139	D_00102	25.888	13108
D_00139	D_00181	25.437	19001
D_00139	D_00197	26.273	19131
D_00139	D_00126	26.471	19150
D_00139	D_00023	23.208	11608
D_00139	D_00146	4.121	1960
D_00139	D_00008	29.845	16501
D_00139	D_00164	6.234	2542
D_00139	D_00285	36.283	27988
D_00139	D_00134	23.068	12827
D_00139	D_00080	34.692	21271
D_00139	D_00207	36.277	21063
D_00139	D_00219	34.096	20217
D_00139	D_00173	26.346	19379
D_00139	D_00109	28.363	19017
D_00139	D_00257	36.647	28174
D_00139	D_00132	27.003	19731
D_00139	D_00003	24.139	13527
D_00139	D_00185	24.212	17728
D_00139	D_00087	35.812	22422
D_00139	D_00140	5.757	2821
D_00139	D_00250	40.776	26761
D_00139	D_00203	32.832	19867
D_00139	D_00243	33.273	26936
D_00139	D_00034	24.396	11864
D_00139	D_00287	37.819	17151
D_00139	D_00098	20.874	10823
D_00139	D_00070	35.836	24665
D_00139	D_00274	33.923	27105
D_00139	D_00213	32.196	18964
D_00139	D_00254	36.849	25801
D_00139	D_00258	39.874	30513
D_00139	D_00298	38.515	17917
D_00139	D_00277	34.971	27615
D_00139	D_00025	25.576	12850
D_00139	D_00096	31.188	22576
D_00139	D_00073	34.840	21695
D_00139	D_00037	22.805	10793
D_00139	D_00124	27.644	13358
D_00139	D_00086	34.228	21453
D_00139	D_00273	38.563	29686
D_00139	D_00209	31.851	21636
D_00139	D_00289	38.034	17375
D_00139	D_00300	37.766	28764
D_00139	D_00224	33.503	21849
D_00139	D_00108	25.651	14050
D_00139	D_00228	37.269	27237
D_00139	D_00270	36.362	24225
D_00139	D_00115	22.108	11369
D_00139	D_00154	2.642	1117
D_00139	D_00089	35.765	25176
D_00139	D_00026	30.977	17067
D_00139	D_00272	34.500	23301
D_00139	D_00056	27.312	13682
D_00139	D_00029	23.569	13481
D_00139	D_00229	34.043	27383
D_00139	D_00233	35.616	22823
D_00139	D_00071	31.870	22833
D_00139	D_00024	24.151	11489
D_00139	D_00220	31.673	21967
D_00139	D_00160	3.614	1641
D_00139	D_00068	30.492	22351
D_00139	D_00144	11.662	4710
D_00139	D_00035	23.525	13385
D_00139	D_00040	24.959	13552
D_00139	D_00011	28.205	13317
D_00139	D_00211	34.342	20182
D_00139	D_00222	31.474	19086
D_00139	D_00218	31.968	19219
D_00139	D_00247	35.803	21632
D_00139	D_00127	24.832	13782
D_00139	D_00033	23.640	13442
D_00139	D_00048	22.918	13206
D_00139	D_00175	24.064	17320
D_00139	D_00158	12.870	5018
D_00139	D_00066	31.148	22642
D_00139	D_00055	25.377	14396
D_00139	Depot	34.576	18760
D_00139	D_00223	34.945	23094
D_00139	D_00168	25.898	19237
D_00139	D_00049	33.678	18355
D_00269	D_00139	35.061	27518
D_00269	D_00117	24.545	19934
D_00269	D_00088	15.747	7315
D_00269	D_00214	18.406	13099
D_00269	D_00267	11.561	6426
D_00269	D_00156	36.588	30942
D_00269	D_00264	3.916	1495
D_00269	D_00239	16.195	11127
D_00269	D_00235	15.497	10362
D_00269	D_00074	14.451	7924
D_00269	D_00226	11.580	8177
D_00269	D_00251	15.499	9887
D_00269	D_00059	15.752	8285
D_00269	D_00151	37.956	32071
D_00269	D_00012	24.497	10930
D_00269	D_00286	19.548	10004
D_00269	D_00266	5.013	2111
D_00269	D_00044	23.429	10425
D_00269	D_00019	23.309	10428
D_00269	D_00121	26.796	20410
D_00269	D_00094	16.620	7858
D_00269	D_00014	28.745	12734
D_00269	D_00112	25.845	20246
D_00269	D_00200	18.104	12344
D_00269	D_00268	5.339	2593
D_00269	D_00010	29.413	20887
D_00269	D_00128	23.317	18986
D_00269	D_00120	23.849	20296
D_00269	D_00099	22.910	17465
D_00269	D_00083	17.797	8455
D_00269	D_00013	24.113	10830
D_00269	D_00280	5.470	2203
D_00269	D_00201	23.865	14779
D_00269	D_00260	10.150	7322
D_00269	D_00180	20.455	14989
D_00269	D_00062	18.291	8911
D_00269	D_00032	29.323	24210
D_00269	D_00283	19.975	10327
D_00269	D_00143	38.078	29829
D_00269	D_00163	32.150	26133
D_00269	D_00271	5.961	2825
D_00269	D_00293	23.648	11874
D_00269	D_00183	21.465	15597
D_00269	D_00275	6.490	3054
D_00269	D_00082	13.431	6680
D_00269	D_00162	36.471	27422
D_00269	D_00259	8.010	3735
D_00269	D_00130	25.474	19769
D_00269	D_00031	25.414	11612
D_00269	D_00159	35.246	26779
D_00269	D_00106	22.723	18781
D_00269	D_00166	34.757	27075
D_00269	D_00135	23.798	18851
D_00269	D_00054	26.696	19937
D_00269	D_00015	23.561	11097
D_00269	D_00069	12.069	5345
D_00269	D_00238	16.915	11820
D_00269	D_00248	10.618	7780
D_00269	D_00187	19.609	14425
D_00269	D_00150	34.267	27019
D_00269	D_00009	27.299	12399
D_00269	D_00253	13.325	9266
D_00269	D_00018	23.765	19001
D_00269	D_00189	19.322	14647
D_00269	D_00217	20.955	14059
D_00269	D_00095	15.910	8085
D_00269	D_00103	22.642	17396
D_00269	D_00047	27.239	23405
D_00269	D_00242	27.259	16088
D_00269	D_00169	15.801	12045
D_00269	D_00291	17.665	10657
D_00269	D_00255	9.999	5495
D_00269	D_00142	32.334	26694
D_00269	D_00161	32.824	26227
D_00269	D_00262	7.748	3785
D_00269	D_00202	22.853	14267
D_00269	D_00292	20.409	12188
D_00269	D_00215	19.912	13702
D_00269	D_00061	13.430	9471
D_00269	D_00279	8.398	3768
D_00269	D_00165	37.245	33301
D_00269	D_00299	22.280	14680
D_00269	D_00208	20.337	13665
D_00269	D_00241	29.503	17190
D_00269	D_00097	12.808	6891
D_00269	D_00072	17.647	8472
D_00269	D_00084	10.418	4808
D_00269	D_00114	25.254	19649
D_00269	D_00193	20.806	15084
D_00269	D_00149	34.720	26696
D_00269	D_00045	28.928	13026
D_00269	D_00261	11.001	5218
D_00269	D_00125	27.994	20745
D_00269	D_00147	37.748	29006
D_00269	D_00065	17.178	8248
D_00269	D_00205	22.134	14339
D_00269	D_00234	28.317	27129
D_00269	D_00077	13.435	6221
D_00269	D_00188	21.993	15641
D_00269	D_00296	23.782	15077
D_00269	D_00174	19.947	14431
D_00269	D_00028	23.843	18796
D_00269	D_00294	17.920	11739
D_00269	D_00152	38.922	33829
D_00269	D_00107	21.865	18560
D_00269	D_00100	24.708	20486
D_00269	D_00113	26.926	19946
D_00269	D_00078	17.162	8687
D_00269	D_00206	21.114	14169
D_00269	D_00256	13.002	9030
D_00269	D_00067	16.343	7670
D_00269	D_00176	22.795	16258
D_00269	D_00232	28.457	16652
D_00269	D_00075	20.268	9651
D_00269	D_00129	21.065	17094
D_00269	D_00039	27.966	23763
D_00269	D_00138	36.527	34132
D_00269	D_00004	28.261	23806
D_00269	D_00020	27.170	22331
D_00269	D_00240	28.543	16720
D_00269	D_00171	19.534	14537
D_00269	D_00131	26.098	18446
D_00269	D_00050	27.068	12300
D_00269	D_00002	28.309	20602
D_00269	D_00090	19.174	8970
D_00269	D_00153	37.765	28980
D_00269	D_00007	26.549	22422
D_00269	D_00148	35.291	27315
D_00269	D_00155	32.283	26980
D_00269	D_00038	29.854	24559
D_00269	D_00111	26.689	19846
D_00269	D_00105	24.090	18780
D_00269	D_00016	29.389	21159
D_00269	D_00276	8.948	4271
D_00269	D_00046	26.803	12156
D_00269	D_00058	29.926	24571
D_00269	D_00196	17.745	13730
D_00269	D_00177	21.021	11150
D_00269	D_00001	27.342	23335
D_00269	D_00063	15.566	7987
D_00269	D_00157	44.275	32614
D_00269	D_00246	27.522	17807
D_00269	D_00116	23.825	19103
D_00269	D_00172	23.479	16067
D_00269	D_00118	24.606	19716
D_00269	D_00290	22.470	11493
D_00269	D_00053	27.964	12436
D_00269	D_00295	22.398	10851
D_00269	D_00022	26.529	12204
D_00269	D_00212	24.737	15044
D_00269	D_00249	15.811	11199
D_00269	D_00281	11.908	6378
D_00269	D_00227	28.651	20317
D_00269	D_00210	22.209	14097
D_00269	D_00244	21.014	13206
D_00269	D_00282	18.477	11159
D_00269	D_00141	37.581	27716
D_00269	D_00179	20.483	14886
D_00269	D_00136	34.187	27073
D_00269	D_00237	30.107	17771
D_00269	D_00091	15.890	7829
D_00269	D_00194	19.945	14935
D_00269	D_00092	13.354	9433
D_00269	D_00137	36.752	28645
D_00269	D_00199	21.489	16912
D_00269	D_00021	28.158	20889
D_00269	D_00076	11.363	5390
D_00269	D_00231	15.487	11071
D_00269	D_00119	26.702	22147
D_00269	D_00284	18.417	8656
D_00269	D_00278	12.869	6366
D_00269	D_00079	14.118	9755
D_00269	D_00027	26.849	23168
D_00269	D_00104	25.900	19915
D_00269	D_00170	15.724	10407
D_00269	D_00230	15.687	10013
D_00269	D_00123	28.548	20792
D_00269	D_00225	18.766	13233
D_00269	D_00221	18.798	12049
D_00269	D_00216	19.164	13042
D_00269	D_00178	14.292	9541
D_00269	D_00167	35.024	26742
D_00269	D_00051	28.936	23463
D_00269	D_00133	26.982	19981
D_00269	D_00030	28.978	23241
D_00269	D_00042	30.418	21480
D_00269	D_00060	18.754	9036
D_00269	D_00236	13.972	9874
D_00269	D_00110	27.015	18877
D_00269	D_00041	29.059	24166
D_00269	D_00064	13.002	7141
D_00269	D_00186	22.831	15508
D_00269	D_00265	7.246	3683
D_00269	D_00245	29.604	27909
D_00269	D_00182	20.591	15836
D_00269	D_00263	12.261	8912
D_00269	D_00190	21.823	11810
D_00269	D_00191	21.024	15317
D_00269	D_00085	14.693	7957
D_00269	D_00052	27.226	12313
D_00269	D_00081	16.469	8156
D_00269	D_00195	18.736	14225
D_00269	D_00184	11.991	8021
D_00269	D_00297	21.499	9587
D_00269	D_00006	27.169	12217
D_00269	D_00101	24.904	19587
D_00269	D_00005	23.485	19083
D_00269	D_00057	28.380	22960
D_00269	D_00093	14.207	7413
D_00269	D_00145	34.951	27273
D_00269	D_00198	19.832	13508
D_00269	D_00288	22.040	9403
D_00269	D_00192	19.974	14876
D_00269	D_00017	26.263	19882
D_00269	D_00036	27.518	22312
D_00269	D_00204	23.575	14578
D_00269	D_00043	29.687	20898
D_00269	D_00252	11.036	8023
D_00269	D_00122	26.177	19715
D_00269	D_00102	26.075	18265
D_00269	D_00181	21.268	11660
D_00269	D_00197	13.627	8720
D_00269	D_00126	24.686	19462
D_00269	D_00023	23.155	18856
D_00269	D_00146	32.804	26356
D_00269	D_00008	27.761	13015
D_00269	D_00164	32.474	25637
D_00269	D_00285	19.591	11452
D_00269	D_00134	27.848	20950
D_00269	D_00080	13.305	9287
D_00269	D_00207	22.273	14546
D_00269	D_00219	18.826	12873
D_00269	D_00173	21.421	11546
D_00269	D_00109	28.291	20926
D_00269	D_00257	2.493	720
D_00269	D_00132	22.356	17059
D_00269	D_00003	27.499	23331
D_00269	D_00185	14.340	9663
D_00269	D_00087	13.758	7516
D_00269	D_00140	29.031	24793
D_00269	D_00250	15.251	10321
D_00269	D_00203	18.828	13350
D_00269	D_00243	15.083	11029
D_00269	D_00034	28.680	21004
D_00269	D_00287	29.185	16581
D_00269	D_00098	22.310	18419
D_00269	D_00070	17.796	8950
D_00269	D_00274	7.131	3465
D_00269	D_00213	18.406	13099
D_00269	D_00254	10.775	6000
D_00269	D_00258	6.859	3106
D_00269	D_00298	20.668	10573
D_00269	D_00277	8.384	4096
D_00269	D_00025	24.885	19553
D_00269	D_00096	17.253	8580
D_00269	D_00073	15.482	10433
D_00269	D_00037	29.487	24198
D_00269	D_00124	25.861	18234
D_00269	D_00086	14.950	10231
D_00269	D_00273	5.549	2279
D_00269	D_00209	25.107	15066
D_00269	D_00289	22.386	11149
D_00269	D_00300	20.592	12090
D_00269	D_00224	22.547	14498
D_00269	D_00108	24.218	19737
D_00269	D_00228	28.775	16935
D_00269	D_00270	11.780	7648
D_00269	D_00115	21.394	18135
D_00269	D_00154	36.497	27377
D_00269	D_00089	11.987	6105
D_00269	D_00026	27.900	12780
D_00269	D_00272	11.694	8684
D_00269	D_00056	26.622	20385
D_00269	D_00029	27.866	23541
D_00269	D_00229	15.683	11159
D_00269	D_00233	10.745	7989
D_00269	D_00071	18.675	8726
D_00269	D_00024	28.451	23901
D_00269	D_00220	24.068	14720
D_00269	D_00160	34.799	27221
D_00269	D_00068	16.367	8059
D_00269	D_00144	39.397	27047
D_00269	D_00035	27.822	23445
D_00269	D_00040	29.256	23612
D_00269	D_00011	27.690	20667
D_00269	D_00211	20.337	13665
D_00269	D_00222	17.469	12569
D_00269	D_00218	17.186	12119
D_00269	D_00247	16.189	10028
D_00269	D_00127	27.089	20458
D_00269	D_00033	27.937	23502
D_00269	D_00048	27.215	23266
D_00269	D_00175	20.009	14614
D_00269	D_00158	40.605	27355
D_00269	D_00066	13.431	6680
D_00269	D_00055	28.466	23235
D_00269	Depot	23.207	10219
D_00269	D_00223	20.698	13083
D_00269	D_00168	21.377	11606
D_00269	D_00049	23.237	10400
D_00117	D_00139	23.320	13382
D_00117	D_00088	25.158	15602
D_00117	D_00214	16.416	12638
D_00117	D_00267	21.228	15336
D_00117	D_00269	25.439	20799
D_00117	D_00156	17.917	13544
D_00117	D_00264	27.076	21462
D_00117	D_00239	16.193	11690
D_00117	D_00235	25.426	18526
D_00117	D_00074	20.290	14922
D_00117	D_00226	17.335	13348
D_00117	D_00251	17.797	12558
D_00117	D_00059	21.166	14312
D_00117	D_00151	19.285	14673
D_00117	D_00012	18.828	7092
D_00117	D_00286	19.188	13022
D_00117	D_00266	27.876	22011
D_00117	D_00044	19.600	7304
D_00117	D_00019	18.384	7210
D_00117	D_00121	9.202	3479
D_00117	D_00094	27.503	19423
D_00117	D_00014	17.341	6329
D_00117	D_00112	2.505	1078
D_00117	D_00200	16.115	11883
D_00117	D_00268	25.044	20715
D_00117	D_00010	14.800	9720
D_00117	D_00128	7.304	2980
D_00117	D_00120	5.422	2306
D_00117	D_00099	5.945	2111
D_00117	D_00083	20.045	13737
D_00117	D_00013	19.029	7314
D_00117	D_00280	28.865	22487
D_00117	D_00201	14.630	6784
D_00117	D_00260	19.118	14191
D_00117	D_00180	23.194	16169
D_00117	D_00062	24.967	10448
D_00117	D_00032	14.896	9496
D_00117	D_00283	18.784	12820
D_00117	D_00143	25.774	19759
D_00117	D_00163	25.658	20157
D_00117	D_00271	25.666	20947
D_00117	D_00293	22.152	14810
D_00117	D_00183	24.426	16859
D_00117	D_00275	26.068	19549
D_00117	D_00082	23.738	17658
D_00117	D_00162	21.876	12514
D_00117	D_00259	31.149	23862
D_00117	D_00130	2.257	768
D_00117	D_00031	23.148	12973
D_00117	D_00159	20.652	11871
D_00117	D_00106	7.256	3483
D_00117	D_00166	25.750	14306
D_00117	D_00135	8.060	3352
D_00117	D_00054	13.862	5562
D_00117	D_00015	20.479	7477
D_00117	D_00069	25.112	18029
D_00117	D_00238	14.516	11005
D_00117	D_00248	16.770	13319
D_00117	D_00187	21.172	15341
D_00117	D_00150	26.088	14664
D_00117	D_00009	14.951	5906
D_00117	D_00253	21.890	16581
D_00117	D_00018	10.931	4626
D_00117	D_00189	23.562	19917
D_00117	D_00217	18.965	13598
D_00117	D_00095	23.258	14889
D_00117	D_00103	7.934	3013
D_00117	D_00047	13.180	8811
D_00117	D_00242	16.914	10491
D_00117	D_00169	26.008	22613
D_00117	D_00291	15.414	11433
D_00117	D_00255	22.756	15950
D_00117	D_00142	22.624	18696
D_00117	D_00161	25.804	20352
D_00117	D_00262	32.042	24473
D_00117	D_00202	15.437	6136
D_00117	D_00292	18.465	12307
D_00117	D_00215	17.922	13241
D_00117	D_00061	18.616	14207
D_00117	D_00279	26.566	18208
D_00117	D_00165	18.574	15903
D_00117	D_00299	20.290	14219
D_00117	D_00208	18.348	13204
D_00117	D_00241	19.158	11593
D_00117	D_00097	20.253	15034
D_00117	D_00072	19.895	13754
D_00117	D_00084	24.205	17381
D_00117	D_00114	2.256	559
D_00117	D_00193	23.399	16164
D_00117	D_00149	20.125	11788
D_00117	D_00045	21.924	12725
D_00117	D_00261	22.685	16495
D_00117	D_00125	3.658	881
D_00117	D_00147	21.291	16645
D_00117	D_00065	26.062	10989
D_00117	D_00205	20.144	13878
D_00117	D_00234	18.770	15439
D_00117	D_00077	24.001	17478
D_00117	D_00188	24.954	16903
D_00117	D_00296	21.792	14616
D_00117	D_00174	24.187	19701
D_00117	D_00028	11.009	4421
D_00117	D_00294	15.622	11396
D_00117	D_00152	20.251	16431
D_00117	D_00107	7.994	3402
D_00117	D_00100	6.522	2655
D_00117	D_00113	5.485	2117
D_00117	D_00078	20.214	13822
D_00117	D_00206	19.124	13708
D_00117	D_00256	21.093	15433
D_00117	D_00067	27.344	19369
D_00117	D_00176	27.035	21528
D_00117	D_00232	18.112	11055
D_00117	D_00075	26.907	11366
D_00117	D_00129	6.558	2878
D_00117	D_00039	12.970	8913
D_00117	D_00138	17.856	16734
D_00117	D_00004	13.834	9092
D_00117	D_00020	15.612	9817
D_00117	D_00240	17.378	13435
D_00117	D_00171	23.775	19807
D_00117	D_00131	3.765	1456
D_00117	D_00050	21.452	12693
D_00117	D_00002	12.995	4896
D_00117	D_00090	25.203	10572
D_00117	D_00153	22.493	17154
D_00117	D_00007	15.254	9515
D_00117	D_00148	27.112	14960
D_00117	D_00155	26.800	22174
D_00117	D_00038	15.427	9845
D_00117	D_00111	9.519	3192
D_00117	D_00105	7.987	3025
D_00117	D_00016	15.298	9738
D_00117	D_00276	24.620	17700
D_00117	D_00046	21.095	12429
D_00117	D_00058	15.499	9857
D_00117	D_00196	21.985	19000
D_00117	D_00177	27.392	22262
D_00117	D_00001	12.346	8485
D_00117	D_00063	23.537	15175
D_00117	D_00157	26.214	18626
D_00117	D_00246	16.153	12331
D_00117	D_00116	7.830	3062
D_00117	D_00172	21.815	15412
D_00117	D_00118	2.445	743
D_00117	D_00290	21.623	13505
D_00117	D_00053	20.939	12387
D_00117	D_00295	21.874	13838
D_00117	D_00022	22.610	13301
D_00117	D_00212	13.622	6340
D_00117	D_00249	16.025	11983
D_00117	D_00281	21.148	15507
D_00117	D_00227	17.282	14841
D_00117	D_00210	15.534	7310
D_00117	D_00244	16.370	10483
D_00117	D_00282	16.462	11933
D_00117	D_00141	21.635	16846
D_00117	D_00179	23.106	16476
D_00117	D_00136	25.802	19763
D_00117	D_00237	19.576	13593
D_00117	D_00091	25.338	16573
D_00117	D_00194	24.185	20205
D_00117	D_00092	18.540	14169
D_00117	D_00137	22.597	18452
D_00117	D_00199	10.650	5626
D_00117	D_00021	14.233	5575
D_00117	D_00076	23.975	17399
D_00117	D_00231	15.485	11634
D_00117	D_00119	2.918	1149
D_00117	D_00284	22.591	15358
D_00117	D_00278	30.916	23648
D_00117	D_00079	18.623	13064
D_00117	D_00027	11.853	8318
D_00117	D_00104	8.306	2984
D_00117	D_00170	23.900	20041
D_00117	D_00230	17.369	12390
D_00117	D_00123	10.193	4543
D_00117	D_00225	16.776	12772
D_00117	D_00221	16.501	11706
D_00117	D_00216	16.972	11044
D_00117	D_00178	24.867	20387
D_00117	D_00167	20.430	11834
D_00117	D_00051	15.148	9834
D_00117	D_00133	4.493	1880
D_00117	D_00030	16.260	11718
D_00117	D_00042	15.768	9973
D_00117	D_00060	25.637	10873
D_00117	D_00236	22.538	17189
D_00117	D_00110	5.327	2172
D_00117	D_00041	14.632	9452
D_00117	D_00064	19.383	14670
D_00117	D_00186	21.649	15170
D_00117	D_00265	25.138	18187
D_00117	D_00245	18.392	15178
D_00117	D_00182	24.831	21106
D_00117	D_00263	20.353	15315
D_00117	D_00190	26.925	22074
D_00117	D_00191	25.264	20587
D_00117	D_00085	20.799	15488
D_00117	D_00052	20.616	12338
D_00117	D_00081	24.384	16134
D_00117	D_00195	22.976	19495
D_00117	D_00184	26.654	22866
D_00117	D_00297	20.445	8175
D_00117	D_00006	20.885	12394
D_00117	D_00101	9.062	3349
D_00117	D_00005	10.651	4708
D_00117	D_00057	16.358	11785
D_00117	D_00093	22.753	14891
D_00117	D_00145	24.260	17914
D_00117	D_00198	17.667	11993
D_00117	D_00288	22.011	8657
D_00117	D_00192	23.329	16364
D_00117	D_00017	13.673	5511
D_00117	D_00036	15.298	9371
D_00117	D_00204	13.802	5740
D_00117	D_00043	16.648	6212
D_00117	D_00252	16.395	13137
D_00117	D_00122	7.746	2735
D_00117	D_00102	3.291	1209
